Timestamp,pH,DO_%,Temperature_C,Agitation_rpm
0.0,5.1716504864325845,48.781418887059175,30.09776503900507,374.31260265354734
0.5,5.175508277942097,44.39379609836392,30.062858771910662,351.32241387609054
1.0,5.369178534467242,44.29324437422837,30.636607813890205,351.430968166156
1.5,5.015334556423767,45.06510302501812,30.378439195459855,337.40040847224196
2.0,5.206324481082876,42.22883088098123,29.67705695700686,344.47564096107675
2.5,5.397179722634921,49.26649818523808,29.27272490281884,346.40651352967143
3.0,5.337769799437673,45.233035090155575,30.569981899986868,322.339591356269
3.5,5.04984360653115,50.74913757211477,30.2260301079742,344.34609286237304
4.0,5.327159877306795,45.2296528676832,29.821343762899208,355.4600088937048
4.5,5.346731337466013,50.48409078408848,30.289035366685663,379.83984710363114
5.0,5.17814285163271,43.33340822114643,30.072674095179487,325.3501553696722
5.5,5.431935933810927,46.239129316933784,29.88985244401384,351.83331818082155
6.0,5.440386688882374,41.863686157089106,30.388255604898685,351.2194189512057
6.5,5.391849605277692,44.44779261673696,30.669958153995356,342.1057808150538
7.0,5.260171737742306,39.60662356693351,29.670972849891204,366.53025494875106
7.5,5.478766363886506,46.54194261108083,29.99838255008194,342.8457824751592
8.0,5.409841867162714,41.15419428444249,29.59531447970827,352.0396266685181
8.5,5.11785593831115,39.793345376343254,30.565797100764847,333.5812069664573
9.0,5.203685161895419,44.09049872311999,30.037171164009006,353.9806355393172
9.5,5.123412625110888,46.35796798291337,29.8670839800726,376.2234094992902
10.0,5.260518237847116,46.69748301742173,30.38882503472383,351.329199197026
10.5,5.414295019410565,39.70186596565081,30.079106846120848,377.0834156253226
11.0,5.379349284596412,50.843671768559716,30.172307397687348,353.6875978775542
11.5,5.612838639300149,48.46360305204265,29.519127731460483,347.82087925940857
12.0,5.226184189295868,45.43688881352717,30.171347411045037,368.4517789859325
12.5,5.168259054050105,41.52322536018485,29.955214423582905,333.08785842685586
13.0,5.245317223344211,47.444301130497195,29.533777200609123,382.66224073911053
13.5,5.442864909253551,42.440288340586555,29.805338100189694,373.7274143321795
14.0,5.256225983910437,41.036006150161626,29.992839478798583,329.7131627298629
14.5,5.191252440159829,42.24051625299555,30.14270880966378,350.0597242621531
15.0,5.317738952197831,38.284621775587105,30.279745155681095,365.8012349434147
15.5,5.369604590263922,44.52725185395469,30.023438251048436,355.6600752880567
16.0,5.4529654548720305,43.47064344328232,29.95028417139797,363.20351352452576
16.5,5.338253493351125,42.41020318822407,30.133831908752374,349.71209666816446
17.0,5.25622089642597,44.552791068285906,29.956428197781662,378.7375631988131
17.5,5.384637900063186,41.1546162697713,30.172528908938602,382.54119770271734
18.0,5.389697955612125,44.74675482920039,29.948468744818978,379.89559824320753
18.5,5.288180958507035,43.70312907722155,30.77085184573078,373.4998825070516
19.0,5.305428876940813,41.3551232749258,29.978597490812895,378.6020200592745
19.5,5.3633277509167385,40.61691656028481,29.804910902163392,368.5307399653447
20.0,5.354239498673879,43.864928507357064,30.27524696873547,407.57706220280915
20.5,5.205046648323239,44.49808638185932,30.02949231251649,339.4146898666745
21.0,5.477453072365173,43.63851967974584,30.239941887846047,342.00871582353477
21.5,5.331708307250179,39.07490916531711,30.648930282804184,385.0849218528324
22.0,5.286903221671453,37.64008329715119,30.058216519915128,384.7196633677487
22.5,5.182744639456407,39.392175987020494,29.668324587295814,381.7541924886588
23.0,5.320517091145549,41.14119043286748,30.05239640419169,355.9924544817315
23.5,5.214381326327243,46.17155548708085,30.438745712543877,372.27707022528097
24.0,5.385215550566762,45.78304192974002,30.046996066981123,363.71383141084533
24.5,5.365183912677747,46.11700591150242,30.01599650052864,360.3759286468634
25.0,5.37720020492851,43.84366941260729,30.16087604847171,379.12569255440746
25.5,5.281082232086656,44.12281069967537,30.008539781763687,360.57313248795816
26.0,5.4412151713652035,40.38908345324971,29.527710795433332,356.6576309500119
26.5,5.348086306695292,43.422406846333836,29.740779014373572,368.4733964267703
27.0,5.245839276833694,44.571098748719436,30.515199334186665,396.6392378673248
27.5,5.465247955048613,44.150029871360786,29.37843614267904,375.57426514996826
28.0,5.32039073763401,44.1413990831347,29.2387206372956,376.227848874886
