Run_ID,Timestamp,pH,DO_%,Temperature_C,Agitation_rpm,Strain,Methanol_Strategy
KP-B1-Run-02,0.0,5.3129306975166335,46.14014239037708,29.634808543241096,342.7692980775768,KP-B1,Pulsed
KP-B1-Run-02,0.5,5.161498176715612,44.65176476532397,30.11712070317488,333.7660950902949,KP-B1,Pulsed
KP-B1-Run-02,1.0,5.507417892268482,45.70931805727588,30.017338675675564,362.3781996035177,KP-B1,Pulsed
KP-B1-Run-02,1.5,5.220857191913408,45.30293243750236,29.78494013389272,374.6301986513348,KP-B1,Pulsed
KP-B1-Run-02,2.0,5.199136065060292,44.93949637792152,30.09879473554553,357.5890528327822,KP-B1,Pulsed
KP-B1-Run-02,2.5,5.248126482691716,42.00097179356471,29.82996144808617,360.00821484648753,KP-B1,Pulsed
KP-B1-Run-02,3.0,5.293115422908803,47.013626425357565,30.14310111581852,318.3463095285059,KP-B1,Pulsed
KP-B1-Run-02,3.5,5.333499779683721,51.31386430344881,30.3975807153115,359.2468640772712,KP-B1,Pulsed
KP-B1-Run-02,4.0,5.204060786953005,45.93266114837694,30.22192498196348,349.5271331209196,KP-B1,Pulsed
KP-B1-Run-02,4.5,5.342924205880444,48.96648737518812,29.74281767407748,337.8755059256131,KP-B1,Pulsed
KP-B1-Run-02,5.0,5.381769932599421,45.74762790859424,30.308651488623845,362.7135738452232,KP-B1,Pulsed
KP-B1-Run-02,5.5,5.256974493682581,45.60907795439621,29.657362037011147,350.82855265733843,KP-B1,Pulsed
KP-B1-Run-02,6.0,5.36527992309664,43.16845734982833,30.740415654668947,326.617236267645,KP-B1,Pulsed
KP-B1-Run-02,6.5,5.261500964300119,41.37416049839027,29.789895357762614,345.7716933144535,KP-B1,Pulsed
KP-B1-Run-02,7.0,5.1848579313141006,46.383106445717885,29.83587141078387,358.2869333671632,KP-B1,Pulsed
KP-B1-Run-02,7.5,5.275267423808975,41.98985876314137,30.50168377082605,370.0939827331411,KP-B1,Pulsed
KP-B1-Run-02,8.0,5.133179960004485,38.07758765499234,30.312782650690945,348.86886579343536,KP-B1,Pulsed
KP-B1-Run-02,8.5,5.156341766606578,47.074705397621024,30.050737215029727,360.8568996058181,KP-B1,Pulsed
KP-B1-Run-02,9.0,5.403453927200591,39.94506852515282,29.51054975358475,381.2143144235481,KP-B1,Pulsed
KP-B1-Run-02,9.5,5.1800333239257705,40.14578660877331,29.69326938613627,389.1158555220245,KP-B1,Pulsed
KP-B1-Run-02,10.0,5.3743383300411525,46.64622392330614,30.05885026367362,349.3050251653148,KP-B1,Pulsed
KP-B1-Run-02,10.5,5.389379128326016,39.01765208760959,29.671414964371053,369.7446276889222,KP-B1,Pulsed
KP-B1-Run-02,11.0,5.191774476917321,43.05775559251438,29.956946296693378,351.2367366166093,KP-B1,Pulsed
KP-B1-Run-02,11.5,5.133638152515114,41.67571332643392,29.752509486920253,362.0049312826488,KP-B1,Pulsed
KP-B1-Run-02,12.0,5.341049053869947,44.633884379810624,29.79720411810768,367.8416692569884,KP-B1,Pulsed
KP-B1-Run-02,12.5,5.175649326722631,37.97178580204294,29.29932818275001,352.9272080730867,KP-B1,Pulsed
KP-B1-Run-02,13.0,5.257170177566144,45.7429468355638,29.80540122388534,364.9339785524973,KP-B1,Pulsed
KP-B1-Run-02,13.5,5.415079657658308,41.25354277305265,30.08941566303216,376.278913234328,KP-B1,Pulsed
KP-B1-Run-02,14.0,5.211183722519444,43.324557014733934,29.79538968504021,344.0493184292696,KP-B1,Pulsed
KP-B1-Run-02,14.5,5.1826048259509765,39.6155542834639,30.0180087017256,337.9206664999071,KP-B1,Pulsed
KP-B1-Run-02,15.0,5.282427297591136,45.564583220558696,30.13470328902568,354.54238565592766,KP-B1,Pulsed
