Time_h,Biomass_gL,Viability_%,Glucose_gL,Methanol_gL,Protein_mgL
0,0.5074507122951685,98.19598182543422,40.0,0,0.0
12,1.146163121515188,96.46798356100861,36.38639455782313,0,216.83171331375667
24,2.9370348072598436,96.06175348288741,27.880539149324186,0,745.7393394538577
36,6.4574034697667875,96.5502135295603,8.257985575051016,0,1851.2077711432353
48,14.29339683517616,97.29583505592635,0.0,0,4029.1775247629043
60,15.794040721719059,96.41848158195613,0.0,5,8474.76739344055
72,16.292181784025694,97.36820995265111,0.0,5,12491.403680723692
84,17.851876372477612,97.54270331524083,0.0,5,17788.35763723188
96,19.444740504176234,93.64526911140862,0.0,5,20802.795958406405
108,21.088770285249662,90.5860326840383,0.0,5,24832.772726483017
120,22.909823207179947,90.73222940906868,0.0,5,28800.653657970717
